is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life,spearman
True,-3.3399803665956624,0.01318,0.00139,0.03708,ZEC-USDT,ARPA-USDT,0,23.58401,0.661
True,-2.9006091358813157,0.04528,0.0062,0.03307,ZEC-USDT,VANRY-USDT,0,32.94865,0.798
True,-2.991938755007487,0.03565,0.00022,0.00378,ZEC-USDT,AMB-USDT,0,31.62788,0.771
True,-3.3866646223141306,0.01142,0.04857,-0.25738,ZEC-USDT,TNSR-USDT,0,20.69304,0.752
True,-3.2806096699931753,0.01577,0.02012,0.57185,ZEC-USDT,LIT-USDT,0,24.10702,0.812
True,-3.225541860840346,0.01855,0.0018,0.26521,ZEC-USDT,POWR-USDT,0,32.08688,0.358
True,-3.113318101289461,0.02558,0.00472,0.1093,ZEC-USDT,GMT-USDT,0,18.84851,0.866
True,-3.2875187975977593,0.01545,0.13061,1.9893,ZEC-USDT,ACE-USDT,0,27.30579,0.72
True,-3.058174811916277,0.02981,-0.10147,1.64557,HOOK-USDT,ZETA-USDT,0,28.52315,-0.14
True,-2.9933504934130717,0.03552,0.09599,0.02575,HOOK-USDT,1000LUNC-USDT,0,23.37626,0.785
True,-3.5199930442835656,0.00749,0.43463,0.22327,HOOK-USDT,LUNA2-USDT,0,8.83927,0.782
True,-3.028742004681187,0.0323,0.20404,0.34523,HOOK-USDT,XRP-USDT,0,22.53956,0.734
True,-3.444047960674033,0.00955,0.00211,0.00187,HOOK-USDT,LEVER-USDT,0,30.88115,0.308
True,-2.9073283063358293,0.0445,245.74376,376.09017,HOOK-USDT,BNB-USDT,0,30.04273,0.754
True,-2.9202424806494878,0.04304,0.40538,0.18519,HOOK-USDT,STORJ-USDT,0,33.3529,0.791
True,-3.677734649100321,0.00444,9.5169,31.40385,HOOK-USDT,EGLD-USDT,0,29.91492,0.27
True,-2.8881906792455703,0.04674,-0.07966,5.28172,ZEC-USDT,MAVIA-USDT,0,31.24942,-0.56
True,-3.1581566705722577,0.02254,0.0093,-0.11175,ZEC-USDT,TOKEN-USDT,0,27.81616,0.874
True,-3.392774793078113,0.01121,0.02296,-0.36043,ZEC-USDT,MYRO-USDT,0,24.07174,0.881
True,-2.9831542557471695,0.0365,1.1343,-0.07058,GMT-USDT,VANRY-USDT,0,33.67544,0.798
True,-2.9864964727593066,0.03617,7.96994,-0.8644,GMT-USDT,TNSR-USDT,0,27.84166,0.795
True,-3.5217359413199727,0.00745,16.96253,-1.04687,GMT-USDT,SNX-USDT,0,17.09382,0.938
True,-3.375978679258536,0.01181,4.18132,0.12417,GMT-USDT,LIT-USDT,0,22.53794,0.893
