is_coint,adf_statistic,p_value,hedge_ratio,intercept,base,target,zero_crossings,half_life
True,-3.8255816761634542,0.00266,0.00181,0.02002,AR-USDT,1000XEC-USDT,7,172.99153
True,-4.579237029503046,0.00014,4755.35261,-26.0055,IOST-USDT,SOL-USDT,7,150.60777
True,-3.821552751663624,0.00269,3685.45778,-144.78856,ONT-USDT,DEFI-USDT,7,168.75373
True,-4.753140183114676,7e-05,0.78087,0.18966,LRC-USDT,ADA-USDT,7,176.96089
True,-3.7361120642008125,0.00363,46.98931,0.21302,REEF-USDT,XRP-USDT,7,321.66931
True,-2.8690187575646675,0.04907,4715.03156,22.1888,RSR-USDT,DASH-USDT,7,547.08385
True,-3.296186378805209,0.01505,2.28237,3.68029,SUSHI-USDT,BAL-USDT,7,328.31076
True,-3.02850193171813,0.03232,0.26062,0.76591,ANT-USDT,EOS-USDT,7,282.58457
True,-3.8210974014926626,0.0027,0.78559,0.00383,LINA-USDT,DGB-USDT,7,223.66364
True,-3.128262363283552,0.02453,0.06737,0.29714,ANT-USDT,XRP-USDT,7,364.43158
True,-3.6403944806078607,0.00503,0.08519,0.14435,SUSHI-USDT,ONT-USDT,7,383.86622
True,-3.8937952240015545,0.00208,0.12042,0.13396,CELO-USDT,ONT-USDT,6,204.95583
True,-3.337224217350294,0.01329,0.002,0.03613,WAVES-USDT,1000XEC-USDT,6,387.24166
True,-2.8932610356222694,0.04614,5.8707,0.28322,ONE-USDT,SXP-USDT,6,520.45612
True,-4.158019378753861,0.00078,0.25449,0.01863,ONE-USDT,PEOPLE-USDT,6,170.67387
True,-3.0276532114118466,0.03239,0.00613,-0.01923,UNI-USDT,CELR-USDT,6,243.91167
True,-3.279646645288899,0.01581,0.00196,0.02794,WAVES-USDT,ANKR-USDT,6,503.02589
True,-3.60440835517646,0.00568,0.12282,-0.42654,LINK-USDT,C98-USDT,6,199.01978
True,-4.293865479637709,0.00046,0.23764,0.23685,CELO-USDT,ADA-USDT,6,166.70592
True,-3.5670296780322737,0.00642,11.09148,-2.17174,SFP-USDT,ALICE-USDT,6,311.08954
True,-3.8578302804254885,0.00237,122.37001,0.70904,LINA-USDT,KAVA-USDT,6,296.95445
True,-3.241136914661018,0.01772,0.00433,0.11758,WAVES-USDT,FLM-USDT,6,469.5449
True,-3.947425298691419,0.00171,35201.47324,13400.01891,BAKE-USDT,BTC-USDT,6,415.0814
True,-3.3225095797214754,0.0139,0.2012,0.04822,OCEAN-USDT,BLZ-USDT,6,230.82784
True,-3.367646871911962,0.01211,1.50224,1.77555,CELO-USDT,QTUM-USDT,6,221.02163
True,-4.91813651794886,3e-05,1.15831,0.18748,OCEAN-USDT,SFP-USDT,6,164.20006
True,-4.1131265049631995,0.00092,0.2,0.15669,CELO-USDT,BAT-USDT,6,156.9243
True,-4.560780920970719,0.00015,2.12918,-0.12005,BLZ-USDT,GALA-USDT,6,158.36633
True,-3.3751125077722417,0.01184,0.80362,0.78789,CELO-USDT,XTZ-USDT,6,211.70494
True,-5.58833962942187,0.0,24.74475,26.08213,CELO-USDT,DASH-USDT,6,144.73319
True,-4.307720138758893,0.00043,3.59887,0.24633,SKL-USDT,SFP-USDT,6,246.99013
True,-4.1210749009035625,0.00089,1.52234,0.17916,CTSI-USDT,SFP-USDT,6,236.10418
True,-2.92300987354353,0.04274,0.21324,0.71913,MASK-USDT,RLC-USDT,6,321.73518
True,-2.9363591130761244,0.04128,0.00297,0.00734,NEO-USDT,ZIL-USDT,6,684.9829
True,-3.8344755675335134,0.00257,0.00087,0.00605,FIL-USDT,1000SHIB-USDT,6,153.44046
True,-3.357878180699731,0.01248,3.35392,0.05086,LINA-USDT,DOGE-USDT,6,313.91314
True,-4.629486011941165,0.00011,0.03571,-0.1041,EGLD-USDT,MASK-USDT,6,479.83254
True,-4.958194650426913,3e-05,0.00736,0.00226,KLAY-USDT,REEF-USDT,6,250.40127
True,-3.5783530047801433,0.00619,0.6835,0.05345,SKL-USDT,BLZ-USDT,6,192.20848
True,-3.865044233423661,0.00231,0.12216,0.05315,TOMO-USDT,XLM-USDT,6,166.21731
True,-2.9022116131792943,0.04509,37.16424,-1.93244,FLM-USDT,ALICE-USDT,6,243.83757
True,-4.93543438853911,3e-05,0.09677,-0.27685,DOT-USDT,C98-USDT,6,109.70619
True,-4.735366498332531,7e-05,0.16772,0.03673,ADA-USDT,XLM-USDT,6,143.99211
True,-4.151129865599564,0.0008,0.83005,0.07806,ONE-USDT,NKN-USDT,6,172.75145
True,-6.346169883405603,0.0,3.96046,0.23419,ONE-USDT,ALGO-USDT,6,98.17645
True,-3.5721773031188095,0.00632,2.51755,-0.04021,XEM-USDT,HBAR-USDT,6,124.0535
True,-3.49653711638376,0.00808,8.61115,-0.1003,VET-USDT,GRT-USDT,6,174.02546
True,-3.105533593761047,0.02615,0.28363,0.06612,OGN-USDT,XLM-USDT,6,386.13406
True,-4.247135633197134,0.00055,0.00089,-0.39141,MKR-USDT,SXP-USDT,6,194.20015
True,-3.52055109297456,0.00747,0.00091,0.00458,FIL-USDT,DGB-USDT,6,153.89897
True,-3.319588211338298,0.01403,737.61888,13818.20087,AR-USDT,BTC-USDT,6,379.5491
True,-5.757806744213316,0.0,0.50316,0.27338,KLAY-USDT,SFP-USDT,6,193.87277
True,-3.5570777664802136,0.00664,0.10278,2.9483,SOL-USDT,BAL-USDT,6,271.03715
True,-3.5222053054190967,0.00743,2.29189,0.88544,KLAY-USDT,XTZ-USDT,6,241.98471
True,-5.132561864151406,1e-05,6.39626,-0.86388,ADA-USDT,MASK-USDT,6,432.5255
True,-3.7759355831364663,0.00316,13.67062,-6.00249,EOS-USDT,LPT-USDT,6,156.98229
True,-3.286684970479054,0.01548,0.16934,0.10905,MANA-USDT,ONT-USDT,6,212.49361
True,-3.389004188821508,0.01134,7e-05,-0.0594,ETH-USDT,SKL-USDT,6,181.88041
True,-4.069728755723131,0.00109,0.00033,0.00557,AXS-USDT,DGB-USDT,6,192.59939
True,-5.297299392156789,1e-05,12.08741,0.20874,CELR-USDT,SFP-USDT,6,150.827
True,-3.7893075662746813,0.00302,0.91536,-0.35739,CTK-USDT,SFP-USDT,6,145.85324
True,-5.4183883570951625,0.0,55.70474,3.79332,GRT-USDT,LPT-USDT,6,61.43494
True,-4.943630717680181,3e-05,0.42738,0.04832,GRT-USDT,NKN-USDT,6,100.97497
True,-3.4025389977759932,0.01087,0.00531,0.00622,SAND-USDT,1000SHIB-USDT,6,200.80744
True,-4.517655114032689,0.00018,0.73645,0.10826,BAKE-USDT,ZRX-USDT,6,134.61873
True,-4.130832735933682,0.00086,84.04968,-13.81523,BAT-USDT,AXS-USDT,6,144.98737
True,-3.8151194552210246,0.00276,0.0636,0.13272,KNC-USDT,CTSI-USDT,6,653.43803
True,-2.9296664268280406,0.04201,2.09949,1.48247,MANA-USDT,QTUM-USDT,6,258.21619
True,-3.2817044454013415,0.01572,2.11226,-0.69025,CTK-USDT,RLC-USDT,6,150.75405
True,-5.480577481546574,0.0,0.26399,0.01688,GALA-USDT,IOTX-USDT,6,97.74582
True,-3.52597954322319,0.00734,0.40606,0.87238,KNC-USDT,EOS-USDT,6,564.55637
True,-3.0413924264726995,0.03121,1.37784,0.09324,ZIL-USDT,FLM-USDT,6,528.29085
True,-2.962566054197425,0.03854,0.01924,0.02953,KNC-USDT,XEM-USDT,6,718.7829
True,-2.8922308924599074,0.04626,67.83885,0.05099,DENT-USDT,FLM-USDT,6,255.20549
True,-3.8714742424108515,0.00226,24.74395,0.0159,DENT-USDT,1000XEC-USDT,6,80.81515
True,-3.1460858035158683,0.02333,10.89143,0.05205,RSR-USDT,FLM-USDT,6,195.35822
True,-3.5324030649994205,0.00719,0.00312,-0.1303,AAVE-USDT,GRT-USDT,6,227.98466
True,-5.265102460831099,1e-05,189.54786,27.48286,GRT-USDT,DASH-USDT,6,156.67475
True,-3.990719876707361,0.00146,0.00917,0.00113,GRT-USDT,HOT-USDT,6,133.37295
True,-3.8175013276995577,0.00273,1e-05,-0.05458,YFI-USDT,ONE-USDT,6,182.8933
True,-3.2590839492651376,0.01681,0.75254,0.11732,AUDIO-USDT,ALGO-USDT,6,310.63463
True,-3.8084858930220182,0.00282,0.21485,0.38648,ANT-USDT,LIT-USDT,6,161.92121
True,-4.876030653368708,4e-05,0.00368,0.00108,AUDIO-USDT,HOT-USDT,6,95.49273
True,-3.8295517819568468,0.00262,0.04456,0.00527,GRT-USDT,DGB-USDT,6,182.41352
True,-5.024529509404819,2e-05,0.41254,4.22579,AXS-USDT,LPT-USDT,6,118.38927
True,-3.0602454560950596,0.02964,0.00832,0.18404,AXS-USDT,ZRX-USDT,6,331.37427
True,-3.119850101353905,0.02512,0.00927,0.0038,SXP-USDT,STMX-USDT,6,242.13529
True,-4.112422491691943,0.00092,14.28212,3.78474,C98-USDT,LPT-USDT,6,103.4994
True,-3.0695172476963393,0.02889,0.00296,0.0755,AXS-USDT,FLM-USDT,6,242.60366
True,-3.6944063211398284,0.00419,193.35949,57.27666,SXP-USDT,BCH-USDT,6,206.9918
True,-4.5890636520922135,0.00014,0.04643,0.01298,SXP-USDT,ANKR-USDT,6,122.37988
True,-3.404160247676269,0.01082,1.29082,-51.35727,AAVE-USDT,KSM-USDT,6,178.94612
True,-4.352737868651659,0.00036,5.2686,0.30293,ZIL-USDT,SFP-USDT,6,396.02053
True,-4.4041195341503885,0.00029,0.04655,0.04837,MANA-USDT,BLZ-USDT,6,156.40596
True,-3.5273120364389654,0.00731,0.00139,0.00627,NEAR-USDT,1000SHIB-USDT,6,242.73357
True,-3.0777439977384202,0.02824,0.08414,0.61698,BAL-USDT,MTL-USDT,6,344.54015
True,-3.4358973030302877,0.00979,0.19253,0.14613,SAND-USDT,BAT-USDT,6,144.76809
True,-4.664900846123345,0.0001,4.42631,0.57271,BAKE-USDT,KAVA-USDT,6,203.67258
True,-3.566311307635263,0.00644,135.66023,-2.55407,ARPA-USDT,ALICE-USDT,6,153.62852
True,-3.101956850199423,0.02641,0.00239,0.00094,ENJ-USDT,HOT-USDT,6,196.10363
True,-2.9330427674089137,0.04164,27.75859,-19.41463,XTZ-USDT,AVAX-USDT,6,228.40724
True,-3.4338313064604455,0.00986,0.0009,0.0396,COMP-USDT,BLZ-USDT,6,242.51407
True,-2.8789414111268514,0.04785,9284.99296,8118.67466,XTZ-USDT,BTC-USDT,6,341.65515
True,-3.2514148117439783,0.01719,0.0116,0.00434,ENJ-USDT,DGB-USDT,6,231.99602
True,-4.439055033109318,0.00025,0.02573,0.00512,BAKE-USDT,1000SHIB-USDT,6,232.42264
