,pair,sum
280,WOO-USDT_JASMY-USDT,2211
233,ENS-USDT_CFX-USDT,2209
227,QTUM-USDT_ARKM-USDT,2209
58,PYTH-USDT_DENT-USDT,2208
95,SAND-USDT_ENJ-USDT,2207
121,NEAR-USDT_FTM-USDT,2206
171,ADA-USDT_XVS-USDT,2204
18,PEOPLE-USDT_API3-USDT,2204
324,SFP-USDT_ETC-USDT,2202
331,NMR-USDT_ICX-USDT,2199
437,NTRN-USDT_PEOPLE-USDT,2198
371,QTUM-USDT_WLD-USDT,2194
211,NTRN-USDT_NEO-USDT,2184
320,ACH-USDT_IOTA-USDT,2182
73,ROSE-USDT_IOST-USDT,2181
124,BAL-USDT_PHB-USDT,2180
293,BLUR-USDT_API3-USDT,2177
89,XRP-USDT_ETHW-USDT,2176
343,LEVER-USDT_JASMY-USDT,2176
469,ENS-USDT_HIFI-USDT,2174
344,FXS-USDT_CRV-USDT,2173
313,PHB-USDT_STG-USDT,2171
235,MAV-USDT_1000BONK-USDT,2169
354,XTZ-USDT_HIGH-USDT,2168
231,1000BONK-USDT_1000XEC-USDT,2167
7,HIFI-USDT_DOGE-USDT,2163
45,APE-USDT_IOST-USDT,2163
281,ICP-USDT_SKL-USDT,2161
432,LIT-USDT_XTZ-USDT,2161
71,DYDX-USDT_STORJ-USDT,2160
46,HIFI-USDT_RIF-USDT,2158
338,ICP-USDT_GALA-USDT,2158
336,RLC-USDT_LEVER-USDT,2155
111,TRU-USDT_C98-USDT,2154
332,PEOPLE-USDT_1000FLOKI-USDT,2152
96,NEAR-USDT_ONE-USDT,2151
440,COMP-USDT_DODOX-USDT,2151
451,BAL-USDT_DOGE-USDT,2147
98,CKB-USDT_MASK-USDT,2145
464,BNT-USDT_DUSK-USDT,2145
375,DASH-USDT_IMX-USDT,2141
226,ZEN-USDT_DODOX-USDT,2141
63,SEI-USDT_XLM-USDT,2139
312,WAXP-USDT_1INCH-USDT,2137
387,WLD-USDT_RIF-USDT,2136
36,DUSK-USDT_ONT-USDT,2135
296,KNC-USDT_KAS-USDT,2133
466,SNX-USDT_AGLD-USDT,2131
489,CHZ-USDT_TOKEN-USDT,2129
91,TLM-USDT_LINK-USDT,2128
206,WAXP-USDT_AGLD-USDT,2120
479,ZEN-USDT_1INCH-USDT,2120
337,BAND-USDT_NTRN-USDT,2119
307,EGLD-USDT_MANA-USDT,2117
37,THETA-USDT_ONG-USDT,2117
39,STG-USDT_FLOW-USDT,2116
214,CHZ-USDT_ONE-USDT,2116
395,TRB-USDT_BSV-USDT,2115
408,WAXP-USDT_PHB-USDT,2115
353,APT-USDT_CRV-USDT,2112
25,ETC-USDT_KAS-USDT,2112
251,LDO-USDT_QTUM-USDT,2111
252,DYDX-USDT_CRV-USDT,2101
439,JOE-USDT_XLM-USDT,2100
190,YGG-USDT_GRT-USDT,2098
404,YGG-USDT_SOL-USDT,2095
16,DUSK-USDT_UNI-USDT,2092
222,WAXP-USDT_ORDI-USDT,2092
411,FET-USDT_MTL-USDT,2088
256,BTC-USDT_IOST-USDT,2087
385,COMBO-USDT_STEEM-USDT,2083
191,EDU-USDT_ADA-USDT,2083
154,ARKM-USDT_1000XEC-USDT,2082
488,CELO-USDT_XLM-USDT,2079
412,WLD-USDT_MAGIC-USDT,2079
26,ACH-USDT_1000PEPE-USDT,2074
240,HIFI-USDT_BLUR-USDT,2070
34,QTUM-USDT_TOKEN-USDT,2070
178,BTC-USDT_ARKM-USDT,2067
423,TLM-USDT_IMX-USDT,2066
172,JOE-USDT_TLM-USDT,2063
358,KAVA-USDT_RUNE-USDT,2061
289,GMT-USDT_BICO-USDT,2061
305,KNC-USDT_BICO-USDT,2058
279,IOTA-USDT_DUSK-USDT,2054
272,ETHW-USDT_1000PEPE-USDT,2052
20,SOL-USDT_BAL-USDT,2052
161,COMP-USDT_QNT-USDT,2050
457,SFP-USDT_ONT-USDT,2048
33,CKB-USDT_GALA-USDT,2047
429,POWR-USDT_ZEC-USDT,2046
424,ROSE-USDT_COMBO-USDT,2042
442,ICX-USDT_BIGTIME-USDT,2040
51,ARKM-USDT_BEL-USDT,2033
294,ONG-USDT_CELR-USDT,2031
180,GMT-USDT_ACH-USDT,2030
301,ORDI-USDT_NEAR-USDT,2030
250,GMT-USDT_SSV-USDT,2030
140,SUPER-USDT_T-USDT,2029
201,ROSE-USDT_FLM-USDT,2027
397,PEOPLE-USDT_ONE-USDT,2025
319,GALA-USDT_ARB-USDT,2024
247,ARPA-USDT_1000BONK-USDT,2023
110,NEAR-USDT_ILV-USDT,2023
473,COMP-USDT_BADGER-USDT,2021
234,IOTA-USDT_ATOM-USDT,2019
66,ALGO-USDT_RIF-USDT,2016
80,ICP-USDT_CRV-USDT,2014
225,RUNE-USDT_KAS-USDT,2012
88,1INCH-USDT_STX-USDT,2011
345,EDU-USDT_PEOPLE-USDT,2007
145,XMR-USDT_CELR-USDT,2007
350,FXS-USDT_JASMY-USDT,2005
321,RSR-USDT_CFX-USDT,2004
72,CELO-USDT_BTCDOM-USDT,2001
136,DASH-USDT_MAGIC-USDT,2001
494,AGLD-USDT_YFI-USDT,1997
443,USTC-USDT_GMX-USDT,1997
55,LPT-USDT_FLOW-USDT,1995
4,STX-USDT_NMR-USDT,1994
317,ROSE-USDT_IMX-USDT,1991
94,ALICE-USDT_ARKM-USDT,1986
446,LEVER-USDT_IMX-USDT,1985
38,BNX-USDT_BIGTIME-USDT,1972
97,MEME-USDT_JOE-USDT,1972
160,HIFI-USDT_ONT-USDT,1970
126,BTC-USDT_CELR-USDT,1968
204,RUNE-USDT_STORJ-USDT,1968
286,ROSE-USDT_1INCH-USDT,1959
162,COMBO-USDT_NMR-USDT,1958
19,EOS-USDT_SNX-USDT,1953
392,POLYX-USDT_BTCDOM-USDT,1953
452,1INCH-USDT_BTCDOM-USDT,1952
360,OGN-USDT_ETH-USDT,1948
187,XMR-USDT_RDNT-USDT,1948
115,PYTH-USDT_TOKEN-USDT,1945
300,MASK-USDT_DASH-USDT,1942
62,BICO-USDT_XLM-USDT,1939
348,MASK-USDT_FLM-USDT,1938
210,OP-USDT_T-USDT,1937
290,KAVA-USDT_BTCDOM-USDT,1931
468,QNT-USDT_LTC-USDT,1931
232,LDO-USDT_LPT-USDT,1929
156,GMX-USDT_STORJ-USDT,1928
311,DODOX-USDT_UNI-USDT,1926
370,HOOK-USDT_ONE-USDT,1923
215,LINA-USDT_ASTR-USDT,1917
352,MAV-USDT_THETA-USDT,1916
318,TIA-USDT_WLD-USDT,1915
223,RVN-USDT_FET-USDT,1914
173,ZRX-USDT_RUNE-USDT,1910
48,XTZ-USDT_PENDLE-USDT,1910
306,CFX-USDT_FLOW-USDT,1907
127,FET-USDT_NTRN-USDT,1907
130,FET-USDT_PYTH-USDT,1904
163,SFP-USDT_CAKE-USDT,1901
131,SOL-USDT_DYDX-USDT,1897
433,XRP-USDT_BAT-USDT,1897
454,SAND-USDT_BNB-USDT,1896
492,APT-USDT_DENT-USDT,1893
31,LTC-USDT_TOKEN-USDT,1893
327,POWR-USDT_BAKE-USDT,1893
82,PENDLE-USDT_DOGE-USDT,1891
158,BAT-USDT_FTM-USDT,1888
476,SSV-USDT_DOGE-USDT,1887
14,ZIL-USDT_GMX-USDT,1882
9,DYDX-USDT_ANKR-USDT,1881
441,LUNA2-USDT_FLOW-USDT,1879
254,UMA-USDT_JASMY-USDT,1878
47,ARB-USDT_1000SHIB-USDT,1875
255,KAVA-USDT_GMX-USDT,1875
363,MKR-USDT_API3-USDT,1874
87,ALPHA-USDT_1000BONK-USDT,1870
209,SUPER-USDT_AGLD-USDT,1863
101,LIT-USDT_HIFI-USDT,1862
107,CHR-USDT_FET-USDT,1856
221,OP-USDT_SPELL-USDT,1856
378,HIGH-USDT_IMX-USDT,1854
17,ENS-USDT_NEO-USDT,1853
10,ILV-USDT_CRV-USDT,1852
262,KAS-USDT_BIGTIME-USDT,1851
44,UMA-USDT_ILV-USDT,1843
151,AVAX-USDT_HOT-USDT,1839
128,FXS-USDT_ETH-USDT,1835
485,GMT-USDT_CFX-USDT,1830
273,MINA-USDT_FLM-USDT,1824
149,HOT-USDT_BTCDOM-USDT,1824
274,INJ-USDT_ALPHA-USDT,1818
132,BAKE-USDT_FXS-USDT,1816
303,CRV-USDT_FTM-USDT,1810
217,POWR-USDT_FLOW-USDT,1805
481,UMA-USDT_TRU-USDT,1802
137,POWR-USDT_ICP-USDT,1797
368,DOT-USDT_MAGIC-USDT,1794
420,ADA-USDT_ONT-USDT,1786
246,POWR-USDT_ROSE-USDT,1780
220,FET-USDT_LINA-USDT,1780
218,BEAMX-USDT_ETC-USDT,1776
50,LPT-USDT_BLUR-USDT,1775
67,SOL-USDT_KSM-USDT,1770
407,SPELL-USDT_SOL-USDT,1767
202,CTSI-USDT_PENDLE-USDT,1765
105,UMA-USDT_NMR-USDT,1761
386,MASK-USDT_ILV-USDT,1759
480,ARKM-USDT_FTM-USDT,1750
144,LINK-USDT_XLM-USDT,1746
490,BTC-USDT_ETC-USDT,1745
99,SEI-USDT_UNI-USDT,1743
83,CKB-USDT_UNI-USDT,1739
291,INJ-USDT_GMX-USDT,1731
77,BTC-USDT_ICP-USDT,1729
341,APE-USDT_THETA-USDT,1726
394,IMX-USDT_GRT-USDT,1721
153,DODOX-USDT_PENDLE-USDT,1716
491,BTC-USDT_DEFI-USDT,1714
24,BAL-USDT_GRT-USDT,1712
355,APE-USDT_DUSK-USDT,1705
188,BCH-USDT_MAGIC-USDT,1705
283,NEAR-USDT_LINA-USDT,1704
288,EOS-USDT_UNI-USDT,1703
381,JOE-USDT_SOL-USDT,1696
316,AGLD-USDT_DEFI-USDT,1668
275,MEME-USDT_ZEC-USDT,1667
22,RVN-USDT_SOL-USDT,1665
253,PYTH-USDT_QTUM-USDT,1659
406,GALA-USDT_TIA-USDT,1655
122,ENS-USDT_RUNE-USDT,1652
198,BTC-USDT_COTI-USDT,1651
120,HBAR-USDT_LTC-USDT,1638
108,OP-USDT_HBAR-USDT,1633
421,BAL-USDT_ICX-USDT,1621
430,ICP-USDT_SXP-USDT,1606
56,HIFI-USDT_ETHW-USDT,1603
194,BTC-USDT_ENJ-USDT,1602
60,CKB-USDT_STX-USDT,1601
57,ORDI-USDT_SOL-USDT,1594
114,CFX-USDT_1000BONK-USDT,1588
382,SUI-USDT_BIGTIME-USDT,1583
334,ID-USDT_JOE-USDT,1582
409,SUI-USDT_DENT-USDT,1582
134,TIA-USDT_1000PEPE-USDT,1581
196,CKB-USDT_ATOM-USDT,1578
52,MASK-USDT_BLUR-USDT,1566
203,TIA-USDT_T-USDT,1563
478,WOO-USDT_SAND-USDT,1562
292,SAND-USDT_LINK-USDT,1539
361,BAKE-USDT_SUI-USDT,1535
102,PEOPLE-USDT_STX-USDT,1529
470,GALA-USDT_TRX-USDT,1526
177,PENDLE-USDT_LINK-USDT,1524
103,SOL-USDT_CELR-USDT,1516
81,INJ-USDT_RUNE-USDT,1514
185,UMA-USDT_SUI-USDT,1503
117,CKB-USDT_TRX-USDT,1499
224,BADGER-USDT_MKR-USDT,1497
357,BEAMX-USDT_MAGIC-USDT,1472
335,MEME-USDT_ILV-USDT,1464
186,HIFI-USDT_ATOM-USDT,1439
483,COMP-USDT_THETA-USDT,1418
244,TLM-USDT_TRX-USDT,1415
359,BTC-USDT_ONE-USDT,1396
268,XTZ-USDT_STX-USDT,1391
43,SNX-USDT_AVAX-USDT,1373
85,APT-USDT_ATOM-USDT,1355
152,1INCH-USDT_MKR-USDT,1333
